Income,Recency,NumWebVisitsMonth,Complain,Age,Total_spend,Total_purchase,Total_children,accepted_camp,Total_adults,Family_size,Customer_Since_Years,Education_encode
39,48948.0,53,6,0,80,902,24,0,2,1,1,10,4
40,80011.0,3,4,0,43,1395,21,1,0,2,3,10,2
41,20559.0,88,8,0,38,53,7,1,0,2,3,10,3
42,21994.0,4,5,0,66,22,4,1,0,2,3,11,2
44,7500.0,19,5,0,48,31,8,1,0,2,3,10,3
45,79941.0,72,1,0,47,984,16,0,0,1,1,9,2
46,7500.0,24,9,0,27,122,10,0,1,2,2,11,3
47,41728.0,92,10,0,55,55,5,1,0,2,3,10,2
49,72550.0,39,8,0,69,1319,28,2,0,2,4,11,4
50,65486.0,29,2,0,66,507,17,1,0,1,2,9,2
51,79143.0,2,3,0,59,1693,29,0,0,2,2,11,3
52,35790.0,54,7,0,46,72,7,1,0,1,2,10,2
53,82582.0,54,1,0,46,1617,21,0,3,1,1,9,2
54,66373.0,57,3,0,45,606,23,2,0,2,4,10,2
55,82384.0,55,1,0,68,1957,27,0,2,2,2,11,3
56,70287.0,30,3,0,57,1093,21,0,1,1,1,10,2
57,27938.0,31,3,0,35,29,6,1,0,1,2,9,2
59,55954.0,63,7,0,55,518,19,1,0,2,3,9,4
60,75777.0,12,1,0,41,1438,21,0,3,1,1,10,3
61,66653.0,18,3,0,48,612,22,2,0,2,4,11,2
62,61823.0,26,7,0,71,884,24,1,0,1,2,10,2
63,67680.0,8,5,0,72,606,19,1,0,1,2,10,4
64,70666.0,29,4,0,75,1076,16,0,0,2,2,10,2
65,25721.0,75,7,0,52,34,5,1,1,2,3,10,2
66,32474.0,0,7,0,56,11,4,2,0,2,4,9,2
67,88194.0,19,5,0,44,1274,32,1,3,1,2,9,3
68,69096.0,4,4,0,65,653,18,1,0,2,3,10,2
69,74854.0,90,5,0,53,1562,19,3,0,2,5,10,2
70,66991.0,1,3,0,69,1253,21,0,0,2,2,11,3
72,65031.0,29,7,0,64,863,30,1,0,2,3,10,2
73,60631.0,88,7,0,48,661,24,2,1,2,4,10,4
74,28332.0,58,2,0,71,65,8,0,0,2,2,9,2
75,40246.0,68,6,0,46,13,4,1,0,1,2,11,2
76,75251.0,34,5,0,51,1890,19,0,1,2,2,11,3
77,75825.0,40,4,0,47,2209,22,0,2,1,1,11,2
78,26326.0,12,3,1,47,18,4,0,0,2,2,10,3
79,56046.0,9,8,0,58,692,21,0,2,2,2,10,2
80,29760.0,87,8,0,38,165,12,1,0,1,2,11,2
81,26304.0,5,7,0,54,16,4,1,0,2,3,10,2
82,23559.0,87,7,0,50,79,9,1,0,2,3,10,3
83,38620.0,56,3,0,60,318,11,0,0,2,2,10,3
84,81361.0,18,1,0,36,778,27,0,0,1,1,9,2
85,29440.0,95,7,0,63,56,7,2,0,2,4,10,2
86,36138.0,48,7,0,53,151,13,2,1,2,4,10,3
87,50388.0,3,7,0,66,372,17,1,3,1,2,9,2
88,79593.0,70,2,0,50,1366,19,0,1,2,2,9,2
89,54178.0,79,2,0,56,194,10,1,0,2,3,9,2
93,42394.0,69,7,0,51,32,5,1,0,1,2,9,3
94,23626.0,84,5,0,53,43,10,1,0,2,3,9,4
95,30096.0,30,6,0,40,45,6,1,0,2,3,9,2
96,47916.0,72,6,0,63,606,22,1,1,1,2,11,2
97,51813.0,37,7,0,51,63,7,2,0,1,3,10,2
98,78497.0,44,2,0,72,978,25,0,1,2,2,10,3
99,50150.0,32,5,0,40,410,16,0,0,2,2,10,4
100,47823.0,0,8,0,63,72,7,1,0,1,2,10,3
101,34554.0,43,6,0,64,55,7,1,0,1,2,9,4
102,85693.0,59,5,0,44,1169,27,1,0,2,3,10,2
103,65846.0,68,4,0,78,1120,16,0,0,2,2,10,4
104,87195.0,35,1,0,64,1097,20,0,1,2,2,9,2
105,24594.0,94,5,0,44,29,5,1,0,2,3,10,1
106,49096.0,15,7,0,59,187,13,2,0,2,4,10,2
107,52413.0,56,6,0,54,910,26,2,0,2,4,10,2
108,38557.0,17,7,0,45,145,9,1,0,1,2,11,2
109,89058.0,18,2,0,63,850,14,0,0,2,2,11,3
110,77298.0,46,3,0,44,969,24,1,0,2,3,10,2
111,68126.0,40,9,0,32,1820,17,0,2,1,1,11,4
112,57288.0,27,6,0,60,608,20,1,1,2,3,9,3
113,86037.0,95,3,0,32,730,25,0,3,1,1,10,2
114,43974.0,19,7,0,43,551,21,1,0,2,3,11,4
115,50785.0,27,6,0,61,114,8,2,0,1,3,10,2
116,90765.0,25,1,0,53,1724,15,0,2,2,2,9,2
117,36550.0,74,9,0,45,577,20,1,0,2,3,10,3
118,30753.0,85,5,0,56,81,7,2,0,2,4,10,3
119,21918.0,37,6,0,54,33,7,1,0,2,3,10,2
120,56129.0,65,4,0,70,660,22,1,0,2,3,10,3
121,32557.0,13,5,0,56,80,9,1,1,1,2,9,3
122,19510.0,63,7,0,38,30,6,2,0,2,4,10,3
123,30992.0,83,7,0,47,43,5,1,0,1,2,10,2
124,101970.0,69,2,0,40,1135,27,0,4,1,1,10,2
125,71488.0,87,1,0,58,559,16,0,0,2,2,10,3
126,79607.0,37,1,0,39,1923,16,0,1,1,1,10,2
127,54348.0,51,6,0,70,90,8,2,0,2,4,9,3
129,77376.0,72,4,0,67,661,23,2,0,2,4,9,4
130,62998.0,10,5,0,71,463,19,1,0,2,3,10,2
131,61331.0,42,8,0,65,632,23,2,0,1,3,10,3
132,73448.0,10,4,0,54,725,19,0,0,2,2,9,2
134,41551.0,51,8,0,59,279,16,2,0,2,4,10,4
135,62981.0,21,3,0,56,1482,23,0,1,2,2,10,4
136,9548.0,31,8,0,47,29,6,1,0,1,2,11,1
137,33762.0,61,8,0,64,106,9,3,0,2,5,10,4
138,35860.0,37,5,0,50,49,6,2,2,1,3,9,4
139,36921.0,74,7,0,58,38,7,2,0,1,3,10,4
140,92859.0,46,2,0,31,2077,22,0,0,1,1,11,3
141,65104.0,4,7,0,47,1053,17,1,1,2,3,10,3
142,86111.0,73,2,0,61,1385,23,0,0,2,2,10,2
143,68352.0,47,6,0,49,871,25,1,0,1,2,10,4
144,41883.0,13,7,0,35,312,12,1,0,2,3,10,2
145,59809.0,36,8,0,47,877,15,2,0,2,4,11,2
146,23957.0,47,6,0,48,68,6,1,1,2,3,11,2
147,38547.0,49,8,1,42,22,4,1,0,2,3,10,2
148,35688.0,94,8,0,50,211,16,3,0,2,5,11,3
149,49605.0,65,3,0,57,127,8,0,0,2,2,9,3
150,59354.0,59,3,0,70,459,16,2,0,2,4,9,3
151,65747.0,96,6,0,54,460,19,1,1,2,3,9,2
152,46344.0,28,7,0,51,429,17,1,0,2,3,11,3
153,34176.0,12,6,0,35,89,11,1,0,1,2,9,2
154,61010.0,57,5,0,71,1021,26,1,0,2,3,11,4
155,69372.0,10,4,0,74,1381,21,0,3,2,2,10,2
156,49967.0,4,7,0,65,306,15,1,0,1,2,10,2
157,60199.0,49,4,0,45,18,4,3,0,1,4,10,2
158,55375.0,3,2,0,46,162,9,1,0,2,3,10,2
159,80317.0,64,1,0,68,1231,18,0,0,1,1,10,2
160,30523.0,0,7,0,65,13,4,3,0,1,4,10,3
161,70356.0,20,6,0,78,1706,27,0,0,2,2,11,4
162,23228.0,91,8,0,39,121,11,1,0,2,3,9,2
163,74165.0,9,2,0,48,1293,20,0,0,1,1,10,4
165,43482.0,83,6,0,57,88,9,3,0,2,5,10,2
166,62551.0,27,3,0,70,421,18,0,1,1,1,10,2
167,52332.0,63,4,0,64,259,12,0,1,1,1,10,2
168,66951.0,46,1,0,35,1117,15,0,0,1,1,10,2
169,26091.0,84,5,0,66,89,9,2,0,2,4,9,2
170,33456.0,58,7,0,58,36,6,2,0,2,4,9,2
171,28718.0,78,8,0,41,57,7,1,0,2,3,10,2
172,50447.0,4,6,0,53,148,8,2,0,2,4,9,2
173,53537.0,17,5,0,64,93,8,2,0,2,4,9,4
174,52074.0,77,4,0,56,119,7,1,1,1,2,9,2
175,80427.0,56,5,0,48,1835,28,1,0,2,3,11,4
176,83837.0,79,4,0,75,1318,25,0,3,2,2,11,4
177,38853.0,90,7,0,53,45,7,2,0,2,4,9,4
178,38285.0,96,2,0,64,10,4,3,0,2,5,9,2
179,78497.0,44,2,0,72,978,25,0,1,2,2,10,3
180,51650.0,81,5,0,47,191,10,1,0,2,3,9,4
181,16248.0,77,6,0,35,57,9,1,0,2,3,9,3
182,66835.0,21,2,0,77,1033,24,0,0,2,2,10,3
183,30477.0,16,6,0,39,66,6,1,0,2,3,9,3
184,28249.0,80,6,0,62,43,6,0,0,2,2,9,1
185,25271.0,45,9,0,40,50,5,1,0,2,3,11,2
186,32303.0,63,5,0,53,39,7,1,0,1,2,9,4
187,61286.0,34,5,0,57,608,18,1,0,2,3,10,2
188,74068.0,14,2,0,47,1581,24,0,0,2,2,10,2
189,45759.0,13,7,0,59,68,7,2,0,2,4,10,4
190,24882.0,52,6,0,45,80,5,1,1,2,3,11,1
191,66973.0,98,3,0,34,1282,28,0,0,2,2,10,4
193,38872.0,93,8,0,35,91,8,1,0,2,3,10,2
194,51148.0,38,6,0,50,315,16,2,0,2,4,10,2
195,31353.0,24,8,0,46,31,6,2,0,2,4,10,2
196,69661.0,80,3,0,43,834,23,0,0,2,2,9,3
197,80067.0,82,2,0,69,1600,17,0,1,2,2,10,2
198,86718.0,20,2,0,69,1270,17,0,0,2,2,10,2
199,46854.0,81,8,0,50,263,15,2,2,1,3,9,4
200,69142.0,50,5,0,71,535,19,1,1,1,2,9,2
201,75922.0,60,1,0,55,1295,18,0,0,1,1,10,2
202,63693.0,63,6,0,45,1150,29,1,0,1,2,10,2
203,102160.0,54,4,0,46,1240,26,0,4,2,2,11,4
204,40637.0,72,7,0,58,38,6,2,0,1,3,10,4
205,18890.0,5,6,0,39,35,4,0,2,1,1,11,3
206,29604.0,88,9,0,35,53,5,1,1,2,3,10,2
207,48721.0,50,6,0,60,293,17,2,0,1,3,10,3
208,44794.0,99,6,0,57,65,6,1,0,2,3,9,2
209,64497.0,17,8,0,69,1804,29,1,2,1,2,11,2
210,46097.0,11,4,0,67,241,15,1,0,2,3,10,2
211,77972.0,18,1,0,69,1101,20,0,0,2,2,9,2
212,44377.0,70,8,0,55,264,19,2,0,2,4,11,4
213,46014.0,21,7,0,49,541,26,2,0,2,4,10,3
214,70951.0,66,1,0,38,1198,17,0,0,2,2,10,2
215,41443.0,79,8,0,46,482,20,1,0,2,3,9,2
216,52195.0,2,8,0,45,17,4,3,0,1,4,9,3
217,83790.0,81,3,0,75,1615,25,0,2,2,2,10,3
218,44551.0,24,7,0,69,285,12,1,0,1,2,10,3
219,69508.0,48,6,0,43,1135,28,1,0,2,3,11,2
220,45204.0,93,3,0,35,114,7,1,0,2,3,9,3
221,72460.0,56,1,0,54,1047,16,0,0,2,2,10,2
222,77622.0,3,3,0,53,714,22,2,0,2,4,9,4
223,30732.0,44,8,0,43,185,13,1,0,2,3,10,4
224,63887.0,38,6,0,61,1245,32,1,0,1,2,11,2
225,42011.0,46,8,0,45,189,12,1,0,2,3,10,2
226,51369.0,84,8,0,47,576,16,1,0,2,3,11,2
227,51537.0,27,8,0,71,1103,18,1,0,1,2,11,2
228,79930.0,72,2,0,51,1753,17,0,0,2,2,11,4
229,34320.0,66,8,0,37,17,4,1,0,2,3,9,4
230,37070.0,30,7,0,57,433,23,2,1,1,3,10,2
231,81975.0,2,7,0,61,1588,14,1,1,1,2,10,3
232,38590.0,65,8,0,52,22,4,1,0,2,3,10,2
233,15033.0,37,3,0,72,19,5,0,0,1,1,9,2
234,62745.0,89,5,0,58,1117,29,1,0,2,3,10,4
235,22212.0,49,6,0,48,69,8,1,0,2,3,10,3
236,23661.0,46,7,0,41,23,5,1,0,2,3,10,3
237,79761.0,32,3,0,65,605,19,1,0,1,2,10,4
238,7500.0,54,7,0,50,57,11,1,0,1,2,10,2
240,73455.0,98,3,0,55,2088,22,0,1,1,1,10,2
241,64961.0,97,3,0,65,1009,16,1,0,2,3,11,2
242,22804.0,75,9,0,52,26,5,1,0,1,2,10,2
243,73687.0,8,2,0,33,1627,22,0,2,2,2,10,2
244,61074.0,37,7,0,65,1102,31,1,0,2,3,11,2
245,31686.0,31,6,0,59,17,6,2,0,2,4,9,4
246,80134.0,40,6,0,51,1690,16,1,4,2,3,10,2
247,75027.0,74,5,0,70,1390,21,1,0,2,3,10,2
248,67546.0,90,3,0,35,2126,20,0,0,2,2,11,4
249,65176.0,57,6,0,54,1531,25,1,0,2,3,11,3
250,31160.0,59,8,0,48,64,7,1,0,1,2,10,3
251,29938.0,52,6,0,38,26,6,1,0,1,2,10,2
252,102692.0,5,2,0,49,1112,29,0,5,1,1,10,2
253,26490.0,92,6,0,65,210,11,0,0,2,2,11,3
254,75702.0,77,8,0,56,1148,26,2,0,2,4,11,2
255,30899.0,35,6,0,49,33,6,1,0,1,2,11,4
256,63342.0,48,6,0,62,1101,19,1,1,2,3,11,4
257,45989.0,97,3,0,59,322,16,1,0,1,2,11,2
258,18701.0,95,5,0,59,44,10,2,0,1,3,10,2
259,40737.0,24,8,0,66,17,4,3,0,1,4,10,4
260,15287.0,60,7,0,44,31,6,1,2,1,2,11,2
261,69674.0,46,5,0,55,845,25,2,0,1,3,10,4
262,44159.0,85,5,0,53,275,15,1,0,2,3,9,3
263,37717.0,31,9,0,45,25,4,1,0,2,3,11,4
264,43776.0,9,8,0,71,275,17,2,1,2,4,10,3
265,38179.0,30,7,0,57,90,11,2,0,2,4,10,3
266,80124.0,47,1,0,60,1495,19,0,1,2,2,9,2
267,38097.0,70,7,0,53,184,11,2,2,2,4,11,4
268,72940.0,13,1,0,53,981,13,0,0,2,2,10,2
269,22070.0,11,6,0,53,67,8,1,0,2,3,10,2
270,69267.0,31,7,0,70,1635,14,0,1,1,1,11,2
271,31788.0,15,5,1,40,60,10,1,0,1,2,9,3
272,61905.0,2,5,0,48,231,12,1,0,2,3,9,4
273,29315.0,55,6,0,63,48,10,2,0,2,4,9,2
274,33378.0,38,7,0,60,99,9,2,0,1,3,10,2
275,66313.0,86,4,0,60,770,23,1,0,2,3,10,4
276,60714.0,56,5,0,67,957,23,0,1,1,1,10,2
277,77882.0,29,1,0,42,818,12,0,0,2,2,9,3
278,69867.0,30,1,0,37,925,17,0,2,1,1,10,4
279,63841.0,64,6,0,55,908,22,1,0,1,2,10,3
280,24480.0,46,7,0,42,102,10,1,0,2,3,10,1
281,51369.0,84,8,0,47,576,16,1,0,2,3,11,2
282,37760.0,20,7,0,77,317,13,0,0,2,2,11,2
283,65640.0,74,2,0,49,461,15,1,0,2,3,9,4
284,44319.0,18,5,0,48,37,7,2,0,2,4,9,3
285,30631.0,75,7,0,49,70,7,1,0,2,3,10,2
286,75278.0,17,3,0,71,930,23,0,0,2,2,10,2
287,50898.0,88,5,0,67,859,33,2,0,2,4,10,3
288,79946.0,19,3,0,57,1478,22,0,0,1,1,9,2
289,35416.0,62,8,0,74,390,16,0,0,1,1,10,3
290,32414.0,11,7,0,39,52,5,0,1,2,2,10,3
291,38361.0,74,7,0,54,137,10,1,0,2,3,10,2
292,82497.0,32,4,0,43,1919,19,0,1,2,2,11,2
293,16626.0,76,9,0,52,68,9,2,0,2,4,9,2
294,29672.0,6,6,0,58,25,4,2,0,2,4,10,2
295,55951.0,62,8,0,71,1374,23,1,2,2,3,11,3
296,35388.0,20,7,0,35,32,5,1,0,1,2,10,3
297,42386.0,43,8,0,37,100,7,1,0,2,3,10,3
298,68627.0,45,1,0,41,825,12,0,0,1,1,10,2
299,57912.0,34,5,0,58,916,28,1,1,1,2,9,4
300,35246.0,53,5,0,65,62,11,2,0,1,3,9,2
301,58821.0,44,6,0,67,728,21,1,0,2,3,10,3
302,46377.0,89,4,0,45,90,7,1,0,2,3,9,4
303,39747.0,43,8,0,35,273,13,1,0,1,2,9,2
304,23976.0,68,7,0,39,66,10,1,0,2,3,10,2
305,80950.0,44,2,0,62,1213,23,0,1,2,2,10,3
306,27038.0,64,9,0,57,107,7,0,1,1,1,11,2
307,77457.0,85,1,0,76,1157,18,0,1,1,1,9,2
308,64100.0,93,7,0,59,546,18,1,1,2,3,10,3
309,42670.0,12,4,0,31,241,11,0,0,2,2,10,3
310,12571.0,86,6,0,47,53,11,1,0,1,2,9,2
311,22574.0,28,7,0,56,37,7,3,0,2,5,10,2
313,70893.0,42,3,0,47,1508,23,0,0,1,1,10,3
314,54198.0,13,4,0,57,235,16,2,0,2,4,10,2
315,28839.0,86,5,0,67,32,7,2,0,2,4,9,3
316,40321.0,59,7,0,51,102,8,2,0,2,4,10,2
317,66503.0,30,3,0,38,401,15,1,0,1,2,11,2
318,30833.0,33,5,0,72,28,6,2,0,2,4,10,2
320,64795.0,23,2,0,52,680,21,1,0,2,3,10,2
321,34421.0,81,7,0,49,30,4,1,0,2,3,10,2
322,47025.0,6,7,0,58,20,4,2,0,1,3,9,4
323,64325.0,41,7,0,62,1307,23,1,0,1,2,10,4
324,40464.0,78,8,0,70,630,24,1,0,1,2,10,2
325,62187.0,49,3,0,66,1283,18,0,0,2,2,10,2
326,14849.0,39,8,0,47,65,9,1,0,1,2,10,4
327,27255.0,3,7,0,39,37,5,1,0,2,3,10,2
328,54432.0,37,4,0,73,38,5,3,0,2,5,10,4
329,29999.0,22,8,0,37,160,12,1,0,1,2,10,4
330,24072.0,79,8,0,40,23,4,1,0,1,2,10,2
331,33996.0,46,4,0,34,71,6,0,0,1,1,10,4
332,66334.0,82,5,0,67,1161,19,1,1,2,3,10,4
333,35178.0,10,7,0,52,59,5,1,2,2,3,10,3
334,22010.0,51,8,0,40,33,7,1,0,2,3,10,2
335,62204.0,38,3,0,63,946,22,2,0,1,3,11,2
336,75693.0,10,4,0,55,1442,22,0,4,1,1,11,2
337,30675.0,14,8,0,51,62,5,1,0,2,3,11,2
338,83003.0,18,3,0,58,1674,22,0,2,2,2,10,2
340,68655.0,95,3,0,35,1538,21,0,0,1,1,11,2
341,41411.0,11,6,0,37,139,8,0,0,1,1,10,2
342,55212.0,65,8,0,54,1182,20,1,2,2,3,11,4
343,59292.0,71,3,0,73,507,18,1,0,2,3,10,4
344,27190.0,13,8,0,50,18,4,1,2,2,3,10,1
345,82623.0,58,1,0,71,940,16,0,0,1,1,10,2
346,44300.0,65,6,0,58,42,6,2,0,2,4,10,2
347,84835.0,0,1,0,53,1190,15,0,1,1,1,9,2
348,30372.0,33,7,0,52,44,8,2,0,1,3,11,2
349,33181.0,90,6,0,47,16,4,1,1,2,3,9,3
350,71113.0,95,4,0,66,835,26,1,0,2,3,10,2
351,71952.0,93,4,0,37,1443,22,1,2,2,3,10,2
352,69759.0,38,3,0,57,1029,18,0,1,1,1,10,4
353,72099.0,18,1,0,49,1188,18,0,0,2,2,11,2
354,60000.0,57,6,0,47,1277,24,1,0,1,2,11,4
355,38643.0,45,7,1,45,49,7,2,0,1,3,10,2
356,50737.0,61,6,0,68,99,7,1,1,2,3,10,2
357,68462.0,6,1,0,54,1670,15,0,0,2,2,11,4
358,65073.0,65,2,1,80,900,14,0,0,2,2,10,3
359,46681.0,52,5,0,75,425,16,2,0,2,4,10,4
360,78618.0,87,2,0,66,2153,22,0,1,2,2,11,2
361,62187.0,38,4,0,54,636,21,1,0,1,2,9,4
362,28442.0,53,4,0,45,57,10,2,0,2,4,9,2
363,37717.0,31,9,0,45,25,4,1,0,2,3,11,4
364,51479.0,67,7,0,56,494,22,2,0,2,4,11,2
365,54803.0,65,4,0,54,693,19,1,0,1,2,11,2
366,79530.0,64,2,0,63,1348,26,0,0,2,2,10,2
367,31615.0,82,7,0,47,51,7,1,0,1,2,10,2
368,72025.0,27,3,0,61,1932,16,0,0,2,2,11,2
369,52614.0,63,8,0,48,990,16,1,0,1,2,11,4
370,35684.0,66,6,0,39,30,5,1,0,2,3,9,3
371,48178.0,69,8,0,48,254,16,2,0,2,4,11,2
372,29548.0,52,4,0,53,29,5,1,1,1,2,10,3
373,63810.0,45,8,0,57,1371,23,1,1,1,2,11,2
374,38578.0,2,8,0,51,73,9,2,1,1,3,10,4
375,46098.0,86,8,0,48,120,11,2,0,1,3,11,3
376,22585.0,23,9,0,53,81,5,0,2,1,1,10,2
377,30279.0,13,8,0,34,37,5,1,0,1,2,11,2
378,66426.0,14,6,0,62,1377,20,1,0,2,3,10,4
379,30822.0,92,7,0,54,51,5,1,0,1,2,10,2
380,33581.0,38,8,0,54,17,4,2,0,2,4,10,4
381,19986.0,74,7,0,38,22,4,1,0,2,3,10,2
382,27421.0,14,7,0,69,324,14,0,0,1,1,11,2
383,35688.0,94,8,0,50,211,16,3,0,2,5,11,3
384,36143.0,33,3,0,42,19,4,1,0,1,2,9,3
385,10245.0,32,5,0,52,41,8,1,0,1,2,10,2
386,43795.0,11,7,0,55,492,17,1,2,2,3,10,3
387,63381.0,78,2,0,63,1005,26,1,0,2,3,11,2
388,38823.0,56,6,0,74,114,7,1,0,2,3,11,2
389,83664.0,57,5,0,55,1173,19,2,0,1,3,10,4
390,90300.0,7,1,0,44,1738,19,0,1,2,2,9,2
391,62499.0,0,4,0,44,222,12,1,0,2,3,10,3
392,74293.0,66,2,0,30,1127,16,0,0,1,1,9,2
393,51012.0,86,6,0,77,209,10,0,0,2,2,10,4
394,70777.0,80,3,0,55,787,23,1,0,2,3,9,3
395,68682.0,56,2,0,32,1598,24,0,0,2,2,10,4
396,43824.0,18,8,0,52,186,12,2,0,2,4,11,2
397,15345.0,51,8,0,39,47,6,1,1,2,3,11,2
398,23442.0,71,7,0,36,27,5,1,0,1,2,11,2
399,14515.0,71,7,0,43,96,11,1,1,2,3,11,3
400,31395.0,80,6,0,67,64,10,2,0,1,3,10,3
401,75276.0,2,5,0,58,1040,23,0,0,2,2,11,2
402,42373.0,83,5,0,49,163,13,2,0,1,3,10,2
403,30507.0,29,7,0,63,343,11,0,0,2,2,10,2
404,55521.0,11,7,0,68,446,24,3,2,1,4,10,4
405,48006.0,55,6,0,58,41,5,2,0,2,4,9,2
406,27213.0,19,8,0,51,70,9,1,1,1,2,11,4
407,65808.0,1,6,0,52,272,14,2,0,1,3,9,4
408,30351.0,19,9,0,49,46,6,1,0,2,3,10,4
409,50437.0,28,7,0,60,490,19,2,0,2,4,11,2
410,23616.0,76,8,0,41,79,8,1,1,1,2,11,3
411,53858.0,50,4,0,47,915,17,1,0,2,3,11,2
412,66465.0,1,6,0,68,1485,35,1,1,2,3,10,4
413,46923.0,90,7,0,36,369,16,1,0,1,2,11,2
414,75072.0,83,3,0,61,1073,19,1,0,2,3,10,2
415,75865.0,73,1,0,80,1242,19,0,0,2,2,9,4
416,19789.0,24,5,0,48,78,9,1,1,2,3,10,3
417,80134.0,11,5,0,29,1378,21,0,4,2,2,9,2
418,91065.0,33,3,0,42,1474,26,0,3,1,1,10,2
419,49505.0,4,8,0,52,751,29,2,0,2,4,10,3
420,37401.0,14,7,0,50,48,7,1,0,2,3,9,4
421,30096.0,30,6,0,40,45,6,1,0,2,3,9,2
422,18492.0,75,8,0,41,10,4,1,0,2,3,9,3
423,82584.0,26,1,0,49,1435,16,0,3,2,2,10,3
424,93027.0,77,2,0,82,2119,22,0,1,2,2,10,4
425,48686.0,8,8,0,70,20,4,3,0,2,5,10,2
426,92910.0,42,1,0,37,1795,27,0,3,2,2,9,2
427,75433.0,28,6,0,34,1188,19,1,2,2,3,9,2
428,10404.0,52,5,0,34,43,7,1,0,2,3,9,3
429,61314.0,1,3,0,55,1008,24,1,0,2,3,10,2
430,84865.0,1,4,0,62,1688,16,0,5,1,1,10,4
431,42387.0,42,8,0,34,684,21,1,0,2,3,11,2
432,67309.0,76,7,0,56,1082,39,2,0,2,4,10,3
433,75236.0,27,4,0,59,1068,25,1,0,2,3,10,2
434,30015.0,28,5,0,53,57,7,1,0,1,2,9,2
435,50943.0,49,5,0,67,46,5,1,0,2,3,10,3
436,67272.0,12,5,0,57,733,23,1,0,1,2,10,2
437,51529.0,14,8,0,74,467,17,1,0,1,2,10,3
438,32011.0,89,7,0,52,122,10,1,0,2,3,10,4
439,7500.0,96,8,0,37,36,7,1,0,2,3,10,3
440,28691.0,56,8,0,34,34,5,1,0,2,3,10,2
441,56223.0,72,4,0,75,156,10,1,0,2,3,10,4
442,18100.0,14,5,0,77,14,4,0,0,2,2,10,2
443,30279.0,13,8,0,34,37,5,1,0,1,2,11,2
444,20130.0,99,8,0,49,34,5,0,0,2,2,9,3
445,23295.0,72,8,0,64,20,4,0,0,1,1,10,2
446,42618.0,92,8,0,51,192,11,1,0,1,2,10,3
447,81246.0,87,1,0,59,1379,17,0,2,1,1,10,2
448,24027.0,7,8,0,47,48,7,1,0,2,3,10,2
449,55707.0,91,3,0,70,428,16,1,0,2,3,10,4
450,57959.0,71,3,0,68,868,27,1,0,1,2,10,2
451,56796.0,24,7,0,54,1001,27,1,0,2,3,10,2
452,36230.0,17,5,0,52,59,7,1,0,1,2,10,3
453,70829.0,87,3,0,43,431,16,2,0,2,4,10,3
454,65991.0,21,7,0,47,971,27,1,0,2,3,11,2
455,38988.0,90,8,0,51,348,19,3,0,2,5,11,2
456,89572.0,44,4,0,57,2059,24,0,3,1,1,11,3
457,42207.0,71,6,0,39,265,14,1,2,2,3,10,3
458,50300.0,52,2,0,71,270,13,1,0,2,3,9,2
