ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_spend,Total_purchase,Total_children,accepted_camp,Total_adults,Family_size,Customer_Since_Years,Education_encode,Cluster,Age_bins
12,2125,1959,Graduation,Single,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,64,1102,16,0,0,1,1,10,2,2,60-80
13,8180,1952,Master,Single,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,71,310,15,2,0,1,3,10,3,1,60-80
14,2569,1987,Graduation,Couple,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,36,46,5,0,0,2,2,11,2,1,20-40
15,2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,77,1315,26,0,3,1,1,11,4,0,60-80
16,9736,1980,Graduation,Couple,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,43,96,9,2,0,2,4,11,2,1,40-60
17,4939,1946,Graduation,Couple,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,77,317,13,0,0,2,2,11,2,1,60-80
18,6565,1949,Master,Couple,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,74,1782,26,1,1,2,3,10,3,2,60-80
19,2278,1985,Master,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,38,133,8,1,0,1,2,11,3,1,20-40
20,9360,1982,Graduation,Couple,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,41,316,12,0,0,2,2,11,2,1,40-60
21,5376,1979,Graduation,Couple,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,44,1730,43,1,0,2,3,10,2,2,40-60
22,1993,1949,PhD,Couple,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,74,972,17,1,1,2,3,11,4,2,60-80
23,4047,1954,PhD,Couple,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,69,544,20,1,0,2,3,9,4,2,60-80
24,1409,1951,Graduation,Couple,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,72,444,20,1,0,2,3,10,2,1,60-80
25,7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,54,75,8,0,0,1,1,10,2,1,40-60
26,2404,1976,Graduation,Couple,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,47,257,14,2,0,2,4,10,2,1,40-60
28,9422,1989,Graduation,Couple,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,34,131,9,1,0,2,3,10,2,1,20-40
29,1966,1965,PhD,Couple,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,58,1672,26,0,1,2,2,10,4,2,40-60
30,6864,1989,Master,Single,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,34,30,8,0,0,1,1,9,3,1,20-40
31,3033,1963,Master,Couple,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,60,318,11,0,0,2,2,10,3,1,40-60
32,5710,1970,Graduation,Couple,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,53,120,9,1,1,2,3,11,2,1,40-60
33,7373,1952,PhD,Single,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,71,302,17,2,1,1,3,11,4,1,60-80
34,8755,1946,Master,Couple,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,77,1196,18,0,0,2,2,10,3,2,60-80
35,10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,72,65,6,2,0,1,3,10,3,1,60-80
36,4339,1970,PhD,Couple,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,53,913,28,1,0,2,3,10,4,2,40-60
37,10755,1976,Master,Couple,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,47,81,9,1,0,2,3,10,3,1,40-60
38,8595,1973,Graduation,Single,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,50,67,7,1,0,1,2,9,2,1,40-60
39,2968,1943,PhD,Single,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,80,902,24,0,2,1,1,10,4,2,60-80
40,8601,1980,Graduation,Couple,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,43,1395,21,1,0,2,3,10,2,2,40-60
41,503,1985,Master,Couple,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,38,53,7,1,0,2,3,10,3,1,20-40
42,8430,1957,Graduation,Couple,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,66,22,4,1,0,2,3,11,2,1,60-80
44,2139,1975,Master,Couple,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,48,31,8,1,0,2,3,10,3,1,40-60
45,1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,47,984,16,0,0,1,1,9,2,2,40-60
46,9909,1996,Master,Couple,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,27,122,10,0,1,2,2,11,3,1,20-40
47,7286,1968,Graduation,Couple,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,55,5,1,0,2,3,10,2,1,40-60
49,6566,1954,PhD,Couple,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,69,1319,28,2,0,2,4,11,4,2,60-80
50,8614,1957,Graduation,Single,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,66,507,17,1,0,1,2,9,2,2,60-80
51,4114,1964,Master,Couple,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,59,1693,29,0,0,2,2,11,3,2,40-60
52,1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,46,72,7,1,0,1,2,10,2,1,40-60
53,2225,1977,Graduation,Single,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,46,1617,21,0,3,1,1,9,2,0,40-60
54,9381,1978,Graduation,Couple,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,45,606,23,2,0,2,4,10,2,2,40-60
55,6260,1955,Master,Couple,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,68,1957,27,0,2,2,2,11,3,0,60-80
56,10383,1966,Graduation,Single,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,57,1093,21,0,1,1,1,10,2,2,40-60
57,7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,35,29,6,1,0,1,2,9,2,1,20-40
59,8375,1968,PhD,Couple,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,55,518,19,1,0,2,3,9,4,1,40-60
60,6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,41,1438,21,0,3,1,1,10,3,0,40-60
61,3076,1975,Graduation,Couple,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,48,612,22,2,0,2,4,11,2,2,40-60
62,1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,71,884,24,1,0,1,2,10,2,2,60-80
63,6518,1951,PhD,Single,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,72,606,19,1,0,1,2,10,4,2,60-80
64,4137,1948,Graduation,Couple,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,75,1076,16,0,0,2,2,10,2,2,60-80
65,8082,1971,Graduation,Couple,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,52,34,5,1,1,2,3,10,2,1,40-60
66,1386,1967,Graduation,Couple,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,56,11,4,2,0,2,4,9,2,1,40-60
67,9369,1979,Master,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,44,1274,32,1,3,1,2,9,3,0,40-60
68,4477,1958,Graduation,Couple,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,65,653,18,1,0,2,3,10,2,2,60-80
69,1357,1970,Graduation,Couple,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,53,1562,19,3,0,2,5,10,2,2,40-60
70,1402,1954,Master,Couple,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,69,1253,21,0,0,2,2,11,3,2,60-80
72,6312,1959,Graduation,Couple,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,64,863,30,1,0,2,3,10,2,2,60-80
73,8132,1975,PhD,Couple,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,48,661,24,2,1,2,4,10,4,2,40-60
74,1050,1952,Graduation,Couple,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,71,65,8,0,0,2,2,9,2,1,60-80
75,5846,1977,Graduation,Single,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,46,13,4,1,0,1,2,11,2,1,40-60
76,1859,1972,Master,Couple,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,51,1890,19,0,1,2,2,11,3,2,40-60
77,7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,47,2209,22,0,2,1,1,11,2,0,40-60
78,10401,1976,Master,Couple,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,47,18,4,0,0,2,2,10,3,1,40-60
79,1618,1965,Graduation,Couple,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,58,692,21,0,2,2,2,10,2,2,40-60
80,3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,38,165,12,1,0,1,2,11,2,1,20-40
81,2261,1969,Graduation,Couple,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,54,16,4,1,0,2,3,10,2,1,40-60
82,5346,1973,Master,Couple,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,50,79,9,1,0,2,3,10,3,1,40-60
83,4119,1963,Master,Couple,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,60,318,11,0,0,2,2,10,3,1,40-60
84,535,1987,Graduation,Single,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,36,778,27,0,0,1,1,9,2,2,20-40
85,5268,1960,Graduation,Couple,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,63,56,7,2,0,2,4,10,2,1,60-80
86,273,1970,Master,Couple,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,53,151,13,2,1,2,4,10,3,1,40-60
87,4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,66,372,17,1,3,1,2,9,2,0,60-80
88,8504,1973,Graduation,Couple,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,50,1366,19,0,1,2,2,9,2,2,40-60
89,771,1967,Graduation,Couple,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,56,194,10,1,0,2,3,9,2,1,40-60
93,11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,51,32,5,1,0,1,2,9,3,1,40-60
94,2230,1970,PhD,Couple,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,53,43,10,1,0,2,3,9,4,1,40-60
95,7516,1983,Graduation,Couple,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,40,45,6,1,0,2,3,9,2,1,20-40
96,7247,1960,Graduation,Single,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,63,606,22,1,1,1,2,11,2,2,60-80
97,11100,1972,Graduation,Single,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,51,63,7,2,0,1,3,10,2,1,40-60
98,4646,1951,Master,Couple,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,72,978,25,0,1,2,2,10,3,2,60-80
99,3037,1983,PhD,Couple,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,40,410,16,0,0,2,2,10,4,2,20-40
100,1473,1960,Master,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,63,72,7,1,0,1,2,10,3,1,60-80
101,1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,64,55,7,1,0,1,2,9,4,1,60-80
102,4518,1979,Graduation,Couple,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,44,1169,27,1,0,2,3,10,2,2,40-60
103,9370,1945,PhD,Couple,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,78,1120,16,0,0,2,2,10,4,2,60-80
104,8908,1959,Graduation,Couple,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,64,1097,20,0,1,2,2,9,2,2,60-80
105,8373,1979,Basic,Couple,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,44,29,5,1,0,2,3,10,1,1,40-60
106,7533,1964,Graduation,Couple,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,59,187,13,2,0,2,4,10,2,1,40-60
107,2683,1969,Graduation,Couple,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,54,910,26,2,0,2,4,10,2,2,40-60
108,3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,45,145,9,1,0,1,2,11,2,1,40-60
109,10991,1960,Master,Couple,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,63,850,14,0,0,2,2,11,3,2,60-80
110,5077,1979,Graduation,Couple,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,44,969,24,1,0,2,3,10,2,2,40-60
111,7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,32,1820,17,0,2,1,1,11,4,0,20-40
112,3267,1963,Master,Couple,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,60,608,20,1,1,2,3,9,3,2,40-60
113,999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,32,730,25,0,3,1,1,10,2,0,20-40
114,9215,1980,PhD,Couple,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,43,551,21,1,0,2,3,11,4,1,40-60
115,2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,61,114,8,2,0,1,3,10,2,1,60-80
116,1592,1970,Graduation,Couple,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,53,1724,15,0,2,2,2,9,2,0,40-60
117,367,1978,Master,Couple,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,45,577,20,1,0,2,3,10,3,2,40-60
118,5234,1967,Master,Couple,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,56,81,7,2,0,2,4,10,3,1,40-60
119,9862,1969,Graduation,Couple,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,54,33,7,1,0,2,3,10,2,1,40-60
120,9805,1953,Master,Couple,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,70,660,22,1,0,2,3,10,3,2,60-80
121,6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,56,80,9,1,1,1,2,9,3,1,40-60
122,8442,1985,Master,Couple,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,38,30,6,2,0,2,4,10,3,1,20-40
123,7386,1976,Graduation,Single,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,47,43,5,1,0,1,2,10,2,1,40-60
124,7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,40,1135,27,0,4,1,1,10,2,0,20-40
125,1491,1965,Master,Couple,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,58,559,16,0,0,2,2,10,3,2,40-60
126,11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,39,1923,16,0,1,1,1,10,2,2,20-40
127,3381,1953,Master,Couple,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,70,90,8,2,0,2,4,9,3,1,60-80
129,11051,1956,PhD,Couple,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,67,661,23,2,0,2,4,9,4,2,60-80
130,8026,1952,Graduation,Couple,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,71,463,19,1,0,2,3,10,2,2,60-80
131,433,1958,Master,Single,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,65,632,23,2,0,1,3,10,3,2,60-80
132,9597,1969,Graduation,Couple,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,54,725,19,0,0,2,2,9,2,2,40-60
134,5290,1964,PhD,Couple,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,59,279,16,2,0,2,4,10,4,1,40-60
135,1685,1967,PhD,Couple,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,56,1482,23,0,1,2,2,10,4,2,40-60
136,5342,1976,Basic,Single,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,47,29,6,1,0,1,2,11,1,1,40-60
137,9579,1959,PhD,Couple,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,64,106,9,3,0,2,5,10,4,1,60-80
138,7660,1973,PhD,Single,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,50,49,6,2,2,1,3,9,4,1,40-60
139,1461,1965,PhD,Single,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,58,38,7,2,0,1,3,10,4,1,40-60
140,821,1992,Master,Single,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,31,2077,22,0,0,1,1,11,3,2,20-40
141,11084,1976,Master,Couple,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,47,1053,17,1,1,2,3,10,3,2,40-60
142,8690,1962,Graduation,Couple,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,61,1385,23,0,0,2,2,10,2,2,60-80
143,2937,1974,PhD,Single,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,49,871,25,1,0,1,2,10,4,2,40-60
144,9701,1988,Graduation,Couple,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,35,312,12,1,0,2,3,10,2,1,20-40
145,9949,1976,Graduation,Couple,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,47,877,15,2,0,2,4,11,2,1,40-60
146,10837,1975,Graduation,Couple,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,48,68,6,1,1,2,3,11,2,1,40-60
147,3120,1981,Graduation,Couple,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,42,22,4,1,0,2,3,10,2,1,40-60
148,5885,1973,Master,Couple,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,50,211,16,3,0,2,5,11,3,1,40-60
149,4050,1966,Master,Couple,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,57,127,8,0,0,2,2,9,3,1,40-60
150,3830,1953,Master,Couple,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,70,459,16,2,0,2,4,9,3,1,60-80
151,7987,1969,Graduation,Couple,65747.0,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,54,460,19,1,1,2,3,9,2,1,40-60
152,7798,1972,Master,Couple,46344.0,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,51,429,17,1,0,2,3,11,3,1,40-60
153,92,1988,Graduation,Single,34176.0,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,35,89,11,1,0,1,2,9,2,1,20-40
